italian,english
Andare,Go
Essere,To be
Stare,Stay
Partire,Start
Arrivare,Arrive
Uscire,Go out
Venire,Come
Diventare,Become
Tornare,Return
Nascere,Be born
Morire,Die
Salire,Go out
Scendere,DESCEND
Entrare,Enter
Piacere,Pleasure
Rimanere,Stay
Sembrare,Seem
Accendere,Turn on
Aprire,Open
Assistere,Assist
Assumere,Assume
Bere,Drink
Chiedere,Ask
Chiudere,Close
Cogliere,To seize
Concludere,To conclude
Conoscere,Know
Correggere,Correct
Correre,Run
Cuocere,Cook
Decidere,Decide
Deludere,Disappoint
Difendere,Defend
Dipingere,PAINT
Dire,Say
Dirigere,To direct
Discutere,Discuss
Distruggere,Destroy
Dividere,Split
Fare,Do
Illudere,To deceive
Introdurre,Introduce
Leggere,Light
Mettere,Put
Muovere,Move
Nascondere,HIDE
Offendere,Offend
Offrire,Offer
Perdere,LOSE
Piangere,Cry
Prendere,Take
Produrre,Produce
Proteggere,Protect
Ridere,LAUGH
Ridurre,Reduce
Risolvere,Solve
Rispondere,Answer
Rompere,Break
Scegliere,Choose
Sciogliere,MELT
Scrivere,Write
Soffrire,Suffer
Sospendere,Suspend
Spegnere,Turn off
Spendere,Spend
Spingere,Push
Tradurre,Translate
Uccidere,Kill
Vedere,See
Vincere,WIN
Vivere,Live
Ballare,Dance
Camminare,Walk
Passeggiare,Stroll
Parlare,Speak
Mangiare,Eat
Dormire,Sleep
Lavorare,Work
Comprare,Buy
Cadere,Fall
Restare,Remain